Linux 5.15.167.4-microsoft-standard-WSL2 (DESKTOP-5TARP0L) 	06/08/25 	_x86_64_	(16 CPU)

10:37:42     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:37:43     all    0.00    0.00    0.06    0.06    0.00    0.06    0.00    0.00    0.00   99.81
10:37:43       0    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
10:37:43       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:37:43       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:37:43       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:37:43       4    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
10:37:43       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:37:43       6    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
10:37:43       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:37:43       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:37:43       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:37:43      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:37:43      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:37:43      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:37:43      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:37:43      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:37:43      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:37:43     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:37:44     all    0.81    0.00    0.87    6.11    0.00    0.00    0.00    0.00    0.00   92.20
10:37:44       0    0.00    0.00    0.00    3.06    0.00    0.00    0.00    0.00    0.00   96.94
10:37:44       1    0.98    0.00    1.96   11.76    0.00    0.00    0.00    0.00    0.00   85.29
10:37:44       2    1.00    0.00    1.00    5.00    0.00    0.00    0.00    0.00    0.00   93.00
10:37:44       3    0.00    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
10:37:44       4    0.00    0.00    1.96   14.71    0.00    0.00    0.00    0.00    0.00   83.33
10:37:44       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:37:44       6    0.00    0.00    0.00   38.38    0.00    0.00    0.00    0.00    0.00   61.62
10:37:44       7   10.48    0.00    5.71   21.90    0.00    0.00    0.00    0.00    0.00   61.90
10:37:44       8    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
10:37:44       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:37:44      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:37:44      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:37:44      12    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
10:37:44      13    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
10:37:44      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:37:44      15    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01

10:37:44     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:37:45     all    1.06    0.00    1.06   18.91    0.00    0.12    0.00    0.00    0.00   78.84
10:37:45       0    0.00    0.00    2.00    1.00    0.00    0.00    0.00    0.00    0.00   97.00
10:37:45       1    0.00    0.00    2.94    9.80    0.00    0.98    0.00    0.00    0.00   86.27
10:37:45       2    0.00    0.00    1.02    4.08    0.00    0.00    0.00    0.00    0.00   94.90
10:37:45       3    4.04    0.00    2.02   58.59    0.00    1.01    0.00    0.00    0.00   34.34
10:37:45       4    0.00    0.00    0.00   62.63    0.00    0.00    0.00    0.00    0.00   37.37
10:37:45       5    4.00    0.00    1.00   43.00    0.00    0.00    0.00    0.00    0.00   52.00
10:37:45       6    0.00    0.00    0.00   18.18    0.00    0.00    0.00    0.00    0.00   81.82
10:37:45       7    6.80    0.00    2.91   48.54    0.00    0.00    0.00    0.00    0.00   41.75
10:37:45       8    0.00    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00   96.00
10:37:45       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:37:45      10    0.00    0.00    1.00   34.00    0.00    0.00    0.00    0.00    0.00   65.00
10:37:45      11    0.00    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00   94.00
10:37:45      12    0.99    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   97.03
10:37:45      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:37:45      14    0.00    0.00    1.98    9.90    0.00    0.00    0.00    0.00    0.00   88.12
10:37:45      15    1.00    0.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   96.00

10:37:45     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:37:46     all    1.87    0.00    1.37   20.44    0.00    0.31    0.00    0.00    0.00   76.01
10:37:46       0    0.00    0.00    2.94   16.67    0.00    2.94    0.00    0.00    0.00   77.45
10:37:46       1    1.02    0.00    2.04   32.65    0.00    0.00    0.00    0.00    0.00   64.29
10:37:46       2    1.96    0.00    1.96   18.63    0.00    1.96    0.00    0.00    0.00   75.49
10:37:46       3    0.00    0.00    1.01   44.44    0.00    0.00    0.00    0.00    0.00   54.55
10:37:46       4    1.02    0.00    0.00   25.51    0.00    0.00    0.00    0.00    0.00   73.47
10:37:46       5    3.96    0.00    1.98   34.65    0.00    0.00    0.00    0.00    0.00   59.41
10:37:46       6    1.01    0.00    0.00   14.14    0.00    0.00    0.00    0.00    0.00   84.85
10:37:46       7    5.94    0.00    1.98   43.56    0.00    0.00    0.00    0.00    0.00   48.51
10:37:46       8    1.00    0.00    2.00   11.00    0.00    0.00    0.00    0.00    0.00   86.00
10:37:46       9    7.62    0.00    0.00    8.57    0.00    0.00    0.00    0.00    0.00   83.81
10:37:46      10    0.00    0.00    1.02   25.51    0.00    0.00    0.00    0.00    0.00   73.47
10:37:46      11    0.00    0.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   97.00
10:37:46      12    0.99    0.00    1.98    2.97    0.00    0.00    0.00    0.00    0.00   94.06
10:37:46      13    1.00    0.00    3.00    8.00    0.00    0.00    0.00    0.00    0.00   88.00
10:37:46      14    3.96    0.00    1.98   34.65    0.00    0.00    0.00    0.00    0.00   59.41
10:37:46      15    0.00    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00   96.00

10:37:46     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:37:47     all    2.02    0.00    1.33   22.54    0.00    0.13    0.00    0.00    0.00   73.99
10:37:47       0    2.06    0.00    2.06   20.62    0.00    0.00    0.00    0.00    0.00   75.26
10:37:47       1    0.00    0.00    1.04   68.75    0.00    0.00    0.00    0.00    0.00   30.21
10:37:47       2    1.00    0.00    4.00   33.00    0.00    0.00    0.00    0.00    0.00   62.00
10:37:47       3    0.00    0.00    0.00   12.37    0.00    0.00    0.00    0.00    0.00   87.63
10:37:47       4    2.00    0.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   95.00
10:37:47       5    5.05    0.00    1.01   30.30    0.00    0.00    0.00    0.00    0.00   63.64
10:37:47       6    0.00    0.00    1.00    9.00    0.00    1.00    0.00    0.00    0.00   89.00
10:37:47       7    5.10    0.00    0.00   28.57    0.00    0.00    0.00    0.00    0.00   66.33
10:37:47       8    1.00    0.00    2.00   24.00    0.00    1.00    0.00    0.00    0.00   72.00
