Linux 5.15.167.4-microsoft-standard-WSL2 (DESKTOP-5TARP0L) 	06/08/25 	_x86_64_	(16 CPU)

18:48:25     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:48:26     all    0.13    0.00    0.38   10.58    0.00    0.13    0.00    0.00    0.00   88.79
18:48:26       0    0.00    0.00    1.02   45.92    0.00    0.00    0.00    0.00    0.00   53.06
18:48:26       1    1.00    0.00    1.00   17.00    0.00    0.00    0.00    0.00    0.00   81.00
18:48:26       2    0.00    0.00    1.00   10.00    0.00    0.00    0.00    0.00    0.00   89.00
18:48:26       3    0.00    0.00    0.98    3.92    0.00    1.96    0.00    0.00    0.00   93.14
18:48:26       4    0.00    0.00    0.00    9.09    0.00    0.00    0.00    0.00    0.00   90.91
18:48:26       5    0.00    0.00    0.99    2.97    0.00    0.00    0.00    0.00    0.00   96.04
18:48:26       6    0.00    0.00    0.00   42.42    0.00    0.00    0.00    0.00    0.00   57.58
18:48:26       7    0.00    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
18:48:26       8    0.00    0.00    0.00   20.00    0.00    0.00    0.00    0.00    0.00   80.00
18:48:26       9    0.00    0.00    1.02    8.16    0.00    0.00    0.00    0.00    0.00   90.82
18:48:26      10    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
18:48:26      11    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
18:48:26      12    0.00    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00   93.94
18:48:26      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:48:26      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:48:26      15    0.00    0.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   97.00

18:48:26     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:48:27     all    0.50    0.00    0.50   10.29    0.00    0.00    0.00    0.00    0.00   88.71
18:48:27       0    0.00    0.00    0.00    8.16    0.00    0.00    0.00    0.00    0.00   91.84
18:48:27       1    0.00    0.00    0.00   13.00    0.00    0.00    0.00    0.00    0.00   87.00
18:48:27       2    0.00    0.00    0.00   39.80    0.00    0.00    0.00    0.00    0.00   60.20
18:48:27       3    0.00    0.00    1.01   52.53    0.00    0.00    0.00    0.00    0.00   46.46
