log_file,Device,second,r/s,rkB/s,rrqm/s,%rrqm,r_await,rareq-sz,w/s,wkB/s,wrqm/s,%wrqm,w_await,wareq-sz,d/s,dkB/s,drqm/s,%drqm,d_await,dareq-sz,f/s,f_await,aqu-sz,%util
io1.log,sda,0,0.11,7.21,0.02,15.77,0.5,68.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
io1.log,sdb,1,38.85,400.36,61.22,61.18,0.97,10.31,3.02,479.3,116.81,97.48,3.82,158.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,8.24
io1.log,sdc,2,85.13,2731.6,0.86,1.0,1.13,32.09,1006.27,47566.83,457.98,31.28,1.84,47.27,6.58,15981.54,1.94,22.73,0.33,2427.85,398.74,2.79,3.06,85.25
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,17.0,320.0,63.0,78.75,0.65,18.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,6.0
io1.log,sdc,2,5.0,56.0,0.0,0.0,0.4,11.2,4.0,40.0,7.0,63.64,1.25,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.33,0.01,3.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,489.0,3996.0,510.0,51.05,0.28,8.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,56.0
io1.log,sdc,2,60.0,1312.0,0.0,0.0,0.53,21.87,415.0,50216.0,464.0,52.79,1.51,121.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,2.16,1.14,70.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,188.0,1836.0,271.0,59.04,1.15,9.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,54.0
