Operation,Source File,elapsed_ms,calls,min_ms,avg_ms,max_ms,total_ms,p99_ms,p95_ms,p50_ms,sd,ratio_pct
NEWORD,times1.json,419451.0,327696,0.909,19.457,394.955,6375883.909,55.144,34.701,19.252,104488.219,47.502
PAYMENT,times1.json,419451.0,329156,3.182,19.233,429.307,6330734.939,54.796,33.84,19.201,109709.043,47.165
DELIVERY,times1.json,419451.0,32638,5.423,19.38,140.6,632528.02,54.498,34.153,19.125,97073.665,4.712
SLEV,times1.json,419451.0,32336,0.574,1.178,142.662,38088.984,1.938,1.341,1.022,28030.112,0.284
OSTAT,times1.json,419451.0,32830,0.516,0.994,27.316,32637.472,2.818,1.494,0.893,7085.65,0.243
NEWORD,times2.json,419930.5,319510,0.952,20.063,197.889,6410219.94,59.4,35.877,19.534,100052.845,47.703
PAYMENT,times2.json,419930.5,319098,3.123,19.812,159.953,6322061.187,58.175,35.015,19.485,96911.906,47.047
DELIVERY,times2.json,419930.5,31832,6.847,20.079,147.01,639149.019,60.449,35.757,19.403,99639.211,4.756
SLEV,times2.json,419930.5,31994,0.617,1.259,313.886,40266.597,2.048,1.39,1.053,40658.644,0.3
OSTAT,times2.json,419930.5,31698,0.514,0.999,62.997,31666.31,2.92,1.411,0.903,7601.096,0.236
NEWORD,times3.json,418153.5,320494,0.942,19.898,197.066,6377092.667,58.082,35.489,19.548,99942.21,47.658
PAYMENT,times3.json,418153.5,319188,2.961,19.652,191.534,6272720.727,57.083,34.669,19.487,98441.701,46.878
DELIVERY,times3.json,418153.5,32132,5.895,19.982,191.652,642064.467,57.835,35.46,19.562,96757.499,4.798
SLEV,times3.json,418153.5,31968,0.629,1.243,113.771,39727.603,2.044,1.424,1.079,30076.793,0.297
OSTAT,times3.json,418153.5,32178,0.538,1.025,83.288,32997.219,2.835,1.444,0.916,11274.299,0.247
NEWORD,times4.json,418791.5,322786,0.88,19.752,272.307,6375666.029,54.734,34.81,19.444,96104.704,47.575
PAYMENT,times4.json,418791.5,322144,3.081,19.525,210.796,6289838.344,53.889,34.088,19.378,93809.029,46.934
DELIVERY,times4.json,418791.5,32650,5.754,19.877,210.772,648970.076,57.756,34.483,19.358,98866.04,4.843
SLEV,times4.json,418791.5,32156,0.615,1.229,114.49,39527.458,1.984,1.447,1.091,25424.912,0.295
OSTAT,times4.json,418791.5,32112,0.531,1.022,61.263,32810.507,2.858,1.447,0.921,8870.104,0.245
NEWORD,times5.json,420506.5,325100,0.931,19.782,510.48,6430994.648,57.236,34.911,19.396,109524.733,47.792
PAYMENT,times5.json,420506.5,324576,2.958,19.409,263.23,6299551.552,54.897,33.861,19.295,97230.476,46.815
DELIVERY,times5.json,420506.5,32504,5.778,19.625,166.517,637880.618,54.687,34.417,19.275,91542.711,4.74
SLEV,times5.json,420506.5,32372,0.614,1.213,118.227,39283.117,1.95,1.407,1.064,27637.085,0.292
OSTAT,times5.json,420506.5,32712,0.567,1.014,44.591,33155.532,2.935,1.412,0.915,7225.089,0.246
