Operation,Source File,elapsed_ms,calls,min_ms,avg_ms,max_ms,total_ms,p99_ms,p95_ms,p50_ms,sd,ratio_pct
PAYMENT,times1.json,417799.0,309408,2.979,20.517,186.57,6348157.713,41.549,32.764,19.878,71300.796,47.482
NEWORD,times1.json,417799.0,307718,0.908,20.543,169.985,6321580.761,42.211,33.259,19.955,74394.148,47.283
DELIVERY,times1.json,417799.0,30972,6.267,20.554,146.938,636595.254,41.781,33.283,19.784,71862.275,4.762
SLEV,times1.json,417799.0,31154,0.553,1.147,135.397,35733.67,1.927,1.338,1.01,26901.566,0.267
OSTAT,times1.json,417799.0,30844,0.477,1.006,36.956,31023.933,2.613,1.41,0.912,7585.134,0.232
NEWORD,times2.json,418100.5,309354,0.883,20.669,272.267,6394095.588,45.595,34.145,19.877,82852.484,47.791
PAYMENT,times2.json,418100.5,307336,3.039,20.598,347.263,6330523.094,44.226,33.248,19.799,81070.574,47.316
DELIVERY,times2.json,418100.5,30820,5.783,20.662,169.205,636800.71,46.37,33.784,19.658,77724.606,4.76
SLEV,times2.json,418100.5,30740,0.548,1.163,101.614,35759.138,1.773,1.364,1.037,25547.146,0.267
OSTAT,times2.json,418100.5,31470,0.534,1.007,36.789,31708.372,2.523,1.396,0.92,7203.86,0.237
NEWORD,times3.json,419437.0,307392,0.799,20.712,256.563,6366586.359,46.498,34.356,19.947,79597.714,47.434
PAYMENT,times3.json,419437.0,305538,3.691,20.702,354.277,6325164.065,45.012,33.877,19.871,82183.379,47.125
DELIVERY,times3.json,419437.0,30784,6.167,20.728,184.154,638092.986,46.389,34.786,19.708,78000.479,4.754
SLEV,times3.json,419437.0,30646,0.52,1.144,127.057,35049.682,1.873,1.342,1.016,25204.909,0.261
OSTAT,times3.json,419437.0,30504,0.434,1.014,53.212,30923.628,2.954,1.566,0.906,8735.602,0.23
NEWORD,times4.json,420032.5,321448,0.879,19.866,224.427,6385939.023,49.832,34.01,19.687,90614.724,47.511
PAYMENT,times4.json,420032.5,320516,2.446,19.724,227.874,6321899.093,48.501,33.279,19.621,89638.748,47.034
DELIVERY,times4.json,420032.5,31912,4.879,20.048,157.206,639759.523,50.156,34.045,19.496,87109.075,4.76
SLEV,times4.json,420032.5,31858,0.576,1.151,119.522,36664.195,1.93,1.338,1.015,25135.192,0.273
OSTAT,times4.json,420032.5,31770,0.495,1.025,149.611,32569.23,2.905,1.453,0.902,16394.602,0.242
NEWORD,times5.json,419353.0,307410,0.86,20.729,301.184,6372366.696,53.542,34.532,19.864,85486.09,47.487
PAYMENT,times5.json,419353.0,304508,3.069,20.699,171.968,6303148.432,53.914,34.067,19.773,83893.412,46.971
DELIVERY,times5.json,419353.0,30650,5.376,20.997,250.152,643567.929,59.012,35.202,19.769,90012.416,4.796
SLEV,times5.json,419353.0,30770,0.584,1.168,131.489,35950.446,1.909,1.342,1.012,30700.816,0.268
OSTAT,times5.json,419353.0,30542,0.474,1.004,57.041,30680.111,2.69,1.4,0.901,9512.482,0.229
