log_file,Device,second,r/s,rkB/s,rrqm/s,%rrqm,r_await,rareq-sz,w/s,wkB/s,wrqm/s,%wrqm,w_await,wareq-sz,d/s,dkB/s,drqm/s,%drqm,d_await,dareq-sz,f/s,f_await,aqu-sz,%util
io1.log,sda,0,0.12,7.81,0.04,25.09,0.49,63.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
io1.log,sdb,1,16.35,216.84,37.82,69.82,0.89,13.26,1.69,334.2,81.87,97.98,2.58,198.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02,4.36
io1.log,sdc,2,93.41,3543.43,0.82,0.87,1.21,37.93,1083.22,48694.89,468.59,30.2,1.86,44.95,6.53,15505.49,1.64,20.04,0.26,2375.56,382.66,2.95,3.26,79.88
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdc,2,0.0,0.0,0.0,0.0,0.0,0.0,260.0,6100.0,54.0,17.2,1.36,23.46,0.0,0.0,0.0,0.0,0.0,0.0,131.0,2.35,0.66,31.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,198.0,1984.0,298.0,60.08,0.39,10.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,38.0
io1.log,sdc,2,145.0,2516.0,0.0,0.0,0.4,17.35,484.0,33656.0,306.0,38.73,1.39,69.54,0.0,0.0,0.0,0.0,0.0,0.0,237.0,2.2,1.25,64.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,227.0,1792.0,221.0,49.33,0.6,7.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,54.0
io1.log,sdc,2,208.0,4040.0,0.0,0.0,1.02,19.42,822.0,75796.0,808.0,49.57,1.52,92.21,0.0,0.0,0.0,0.0,0.0,0.0,444.0,2.16,2.43,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,138.0,1180.0,157.0,53.22,1.02,8.55,2.0,16.0,2.0,50.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,48.0
io1.log,sdc,2,72.0,1204.0,0.0,0.0,1.4,16.72,1079.0,62368.0,689.0,38.97,1.76,57.8,0.0,0.0,0.0,0.0,0.0,0.0,507.0,2.58,3.31,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,155.0,1156.0,134.0,46.37,0.97,7.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,42.0
io1.log,sdc,2,102.0,1760.0,0.0,0.0,1.15,17.25,1123.0,75652.0,743.0,39.82,1.69,67.37,0.0,0.0,0.0,0.0,0.0,0.0,509.0,2.53,3.31,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,555.0,3244.0,256.0,31.57,0.93,5.85,4.0,36.0,5.0,55.56,1.25,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,78.0
io1.log,sdc,2,111.0,1796.0,0.0,0.0,1.62,16.18,1091.0,83164.0,721.0,39.79,1.69,76.23,0.0,0.0,0.0,0.0,0.0,0.0,495.0,2.5,3.25,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,102.0,1076.0,167.0,62.08,1.07,10.55,1.0,12.0,2.0,66.67,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,35.0
io1.log,sdc,2,197.0,3496.0,0.0,0.0,1.39,17.75,1123.0,96948.0,908.0,44.71,1.68,86.33,56.0,77408.0,54.0,49.09,0.07,1382.29,493.0,2.55,3.42,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,54.0,692.0,119.0,68.79,1.07,12.81,11.0,6172.0,1532.0,99.29,1.18,561.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,30.0
io1.log,sdc,2,150.0,2608.0,0.0,0.0,1.42,17.39,1111.0,98572.0,824.0,42.58,1.65,88.72,7.0,10364.0,7.0,50.0,0.14,1480.57,482.0,2.57,3.29,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,46.0,676.0,123.0,72.78,1.24,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,27.0
io1.log,sdc,2,148.0,2576.0,0.0,0.0,1.2,17.41,1039.0,30568.0,669.0,39.17,1.75,29.42,0.0,0.0,0.0,0.0,0.0,0.0,496.0,2.56,3.27,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,45.0,656.0,119.0,72.56,0.91,14.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,27.0
io1.log,sdc,2,243.0,4752.0,0.0,0.0,1.3,19.56,977.0,33416.0,660.0,40.32,1.8,34.2,0.0,0.0,0.0,0.0,0.0,0.0,463.0,2.63,3.29,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,63.0,672.0,105.0,62.5,0.87,10.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,24.0
io1.log,sdc,2,188.0,3648.0,0.0,0.0,1.54,19.4,1037.0,30780.0,681.0,39.64,1.83,29.68,0.0,0.0,0.0,0.0,0.0,0.0,472.0,2.7,3.46,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,75.0,848.0,137.0,64.62,0.95,11.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,28.0
io1.log,sdc,2,199.0,3440.0,0.0,0.0,1.4,17.29,1005.0,36976.0,664.0,39.78,1.81,36.79,0.0,0.0,0.0,0.0,0.0,0.0,458.0,2.65,3.31,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,54.0,628.0,103.0,65.61,1.46,11.63,6.0,2068.0,511.0,98.84,1.33,344.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,28.0
io1.log,sdc,2,304.0,5504.0,0.0,0.0,1.37,18.11,1007.0,37016.0,682.0,40.38,1.98,36.76,0.0,0.0,0.0,0.0,0.0,0.0,457.0,2.81,3.69,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,52.0,752.0,136.0,72.34,1.19,14.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,29.0
io1.log,sdc,2,484.0,8384.0,0.0,0.0,1.52,17.32,1016.0,33056.0,689.0,40.41,1.83,32.54,0.0,0.0,0.0,0.0,0.0,0.0,477.0,2.63,3.85,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,61.39,732.67,121.78,66.49,1.18,11.94,0.99,3.96,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,30.69
io1.log,sdc,2,263.37,5120.79,0.0,0.0,1.4,19.44,1037.62,37184.16,674.26,39.39,1.83,35.84,0.0,0.0,0.0,0.0,0.0,0.0,468.32,2.74,3.56,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,67.0,856.0,147.0,68.69,0.87,12.78,1.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,31.0
io1.log,sdc,2,374.0,6848.0,0.0,0.0,1.59,18.31,910.0,36380.0,633.0,41.02,1.93,39.98,0.0,0.0,0.0,0.0,0.0,0.0,426.0,2.85,3.57,99.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,69.0,1128.0,213.0,75.53,0.84,16.35,1.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,31.0
io1.log,sdc,2,487.0,8832.0,0.0,0.0,1.11,18.14,1216.0,48608.0,744.0,37.96,1.63,39.97,0.0,0.0,0.0,0.0,0.0,0.0,551.0,2.37,3.82,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,40.0,500.0,85.0,68.0,1.25,12.5,1.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,25.0
io1.log,sdc,2,364.0,7104.0,0.0,0.0,1.46,19.52,1018.0,36792.0,702.0,40.81,1.73,36.14,0.0,0.0,0.0,0.0,0.0,0.0,473.0,2.61,3.53,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,27.0,184.0,19.0,41.3,1.0,6.81,1.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,15.0
io1.log,sdc,2,516.0,9504.0,0.0,0.0,1.42,18.42,1093.0,41856.0,712.0,39.45,1.65,38.29,0.0,0.0,0.0,0.0,0.0,0.0,494.0,2.53,3.79,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,12.0,128.0,20.0,62.5,0.92,10.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,7.0
io1.log,sdc,2,415.0,7232.0,0.0,0.0,1.38,17.43,1101.0,45548.0,748.0,40.45,1.67,41.37,0.0,0.0,0.0,0.0,0.0,0.0,505.0,2.55,3.7,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,78.0,412.0,25.0,24.27,0.74,5.28,1.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,17.0
io1.log,sdc,2,444.0,8172.0,0.0,0.0,1.39,18.41,1110.0,38992.0,678.0,37.92,1.72,35.13,0.0,0.0,0.0,0.0,0.0,0.0,500.0,2.52,3.79,101.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,25.0,108.0,2.0,7.41,0.6,4.32,1.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,12.0
io1.log,sdc,2,470.0,8672.0,0.0,0.0,1.52,18.45,1100.0,38108.0,704.0,39.02,1.71,34.64,2.0,104.0,0.0,0.0,0.0,52.0,509.0,2.52,3.88,99.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,13.0,120.0,17.0,56.67,1.08,9.23,1.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,9.0
io1.log,sdc,2,414.0,8036.0,0.0,0.0,1.43,19.41,1113.0,38264.0,642.0,36.58,1.63,34.38,0.0,0.0,0.0,0.0,0.0,0.0,504.0,2.4,3.62,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,17.0,120.0,13.0,43.33,1.06,7.06,1.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,12.0
